  UID   PID  PPID   C STIME   TTY           TIME CMD
  270   696     1   0 27 825  ??         0:01.20 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000da9 com.apple.DriverKit-IOUserDockChannelSerial
  270   697     1   0 27 825  ??         6:08.25 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000daa com.apple.AppleUserHIDDrivers
  278   710     1   0 27 825  ??         0:14.38 /usr/sbin/distnoted agent
    0   719   510   0 27 825  ??         0:09.96 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
    0   729     1   0 27 825  ??        32:26.89 /usr/libexec/searchpartyd
    0   735     1   0 27 825  ??         0:14.76 /usr/libexec/wifianalyticsd
   55   745     1   0 27 825  ??         0:03.27 /System/Library/CoreServices/appleeventsd --server
  205   746     1   0 27 825  ??        55:16.18 /usr/libexec/locationd
    0   752     1   0 27 825  ??         7:44.14 /usr/libexec/aned
    0   809     1   0 27 825  ??       282:07.00 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
   89   859     1   0 27 825  ??         0:15.04 /usr/sbin/distnoted agent
  501   862     1   0 27 825  ??         5:46.92 /usr/sbin/distnoted agent
  501   873     1   0 27 825  ??         9:58.59 /usr/sbin/cfprefsd agent
  501   883     1   0 27 825  ??         1:55.27 /usr/libexec/lsd
    0   886     1   0 27 825  ??         0:08.87 /System/Library/CoreServices/SubmitDiagInfo server-init
  501   889     1   0 27 825  ??         8:16.95 /usr/libexec/trustd --agent
  441   901     1   0 27 825  ??         0:01.66 /usr/libexec/rosetta/oahd
  270   918     1   0 27 825  ??         0:01.11 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000eb1 com.apple.IOUserBluetoothSerialDriver
    0   931     1   0 27 825  ??         0:07.06 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  501   936     1   0 27 825  ??         6:14.89 /usr/libexec/secd
  501   938     1   0 27 825  ??         2:42.09 /usr/libexec/UserEventAgent (Aqua)
  501   940     1   0 27 825  ??         4:07.59 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  501   945     1   0 27 825  ??         0:47.76 /usr/sbin/universalaccessd launchd -s
  501   947     1   0 27 825  ??         2:04.95 /usr/libexec/pboard
  501   952     1   0 27 825  ??         5:12.76 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   954     1   0 27 825  ??         1:10.14 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  501   955     1   0 27 825  ??         3:26.70 /usr/libexec/nsurlsessiond
  501   959     1   0 27 825  ??         3:42.94 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  501   961     1   0 27 825  ??         0:04.85 /System/Library/PrivateFrameworks/TextToSpeechVoiceBankingSupport.framework/Support/voicebankingd
  501   970     1   0 27 825  ??         5:41.49 /usr/libexec/rapportd
  501   971     1   0 27 825  ??         1:43.05 /usr/sbin/usernoted
  501   973     1   0 27 825  ??         0:00.03 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
  501   978     1   0 27 825  ??         1:20.56 /System/Library/CoreServices/lockoutagent
  501   980     1   0 27 825  ??         8:57.01 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   985     1   0 27 825  ??         8:26.09 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  501   989     1   0 27 825  ??         0:53.24 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501   993     1   0 27 825  ??         0:31.11 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
    0   994     1   0 27 825  ??         0:02.09 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
